Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       54     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.00     0.00       53     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       49     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.00     0.00       49     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00      0.00     0.00       48     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.00     0.00       48     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.00     0.00       48     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00      0.00     0.00       45     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_ptr()
  0.00      0.00     0.00       45     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_addr()
  0.00      0.00     0.00       45     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_valptr()
  0.00      0.00     0.00       40     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       30     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false> > >::_M_node_allocator()
  0.00      0.00     0.00       30     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false> >, true>::_M_get()
  0.00      0.00     0.00       29     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.00      0.00     0.00       29     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00      0.00     0.00       27     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_v()
  0.00      0.00     0.00       25     0.00     0.00  std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const& std::forward<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&>(std::remove_reference<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&>::type&)
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, bool> >::_M_ptr()
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, bool> >::_M_addr()
  0.00      0.00     0.00       24     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, bool> >::_M_valptr()
  0.00      0.00     0.00       22     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false>::_M_next() const
  0.00      0.00     0.00       21     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.00     0.00       21     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
